指标名称,频率,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
消费品零售:甘肃:金昌,年,5.97 ,6.05 ,6.66 ,7.41 ,8.78 ,10.51 ,11.55 ,13.05 ,14.88 ,18.01 ,20.60 ,23.60 ,27.95 ,32.11 ,37.00 ,43.32 ,50.54 ,57.87 ,69.99 ,76.01 ,82.92 ,89.06 ,95.09 
消费品零售:甘肃:嘉峪关,年,5.83 ,4.07 ,4.49 ,4.97 ,5.58 ,6.36 ,7.05 ,7.58 ,8.64 ,11.65 ,13.41 ,15.42 ,18.00 ,20.45 ,24.01 ,30.01 ,34.61 ,39.42 ,42.53 ,54.95 ,60.00 ,64.38 ,67.77 
消费品零售:甘肃:白银,年,14.81 ,16.89 ,18.64 ,20.32 ,22.54 ,24.82 ,27.37 ,30.26 ,33.86 ,40.54 ,45.81 ,53.24 ,62.94 ,74.27 ,87.28 ,103.50 ,120.09 ,137.19 ,152.35 ,177.65 ,193.64 ,207.19 ,219.51 
消费品零售:甘肃:天水,年,23.00 ,22.57 ,24.22 ,25.12 ,27.55 ,30.50 ,34.01 ,37.54 ,42.24 ,48.46 ,63.94 ,74.09 ,89.42 ,109.63 ,128.57 ,153.64 ,178.00 ,203.33 ,224.29 ,262.42 ,288.66 ,313.11 ,
消费品零售:甘肃:武威,年,,,,,16.01 ,17.95 ,20.22 ,23.11 ,26.50 ,34.90 ,40.06 ,46.69 ,54.97 ,64.89 ,76.50 ,90.66 ,104.72 ,119.63 ,131.66 ,162.58 ,178.15 ,192.05 ,205.72 
消费品零售:甘肃:张掖,年,,,,,15.40 ,,19.52 ,21.52 ,24.12 ,30.93 ,34.90 ,39.61 ,47.52 ,57.25 ,67.68 ,80.28 ,93.17 ,106.05 ,135.55 ,147.62 ,160.90 ,173.05 ,176.05 
消费品零售:甘肃:平凉,年,,,,,25.09 ,,29.68 ,32.65 ,35.91 ,40.24 ,45.65 ,52.13 ,62.26 ,74.12 ,87.98 ,104.65 ,121.21 ,137.75 ,162.84 ,177.50 ,194.16 ,209.81 ,208.11 
消费品零售:甘肃:酒泉,年,,,,,27.93 ,,29.94 ,31.00 ,34.00 ,38.33 ,44.01 ,51.58 ,62.53 ,75.83 ,88.92 ,106.80 ,123.99 ,141.25 ,156.82 ,176.56 ,193.33 ,207.64 ,188.60 
消费品零售:甘肃:庆阳,年,,,,,13.64 ,,16.67 ,22.22 ,25.93 ,36.28 ,41.27 ,48.72 ,62.29 ,78.17 ,93.47 ,112.11 ,129.84 ,148.05 ,187.12 ,203.96 ,223.11 ,238.95 ,253.63 
消费品零售:甘肃:定西,年,,,,,14.74 ,,,20.42 ,22.48 ,25.11 ,28.49 ,32.73 ,38.15 ,45.42 ,53.32 ,63.43 ,73.34 ,83.41 ,98.51 ,107.38 ,117.66 ,126.14 ,131.05 
消费品零售:甘肃:陇南,年,,,,,9.50 ,,,,14.84 ,19.19 ,21.88 ,25.21 ,30.10 ,35.05 ,41.19 ,48.86 ,57.01 ,64.73 ,72.27 ,90.81 ,99.50 ,107.12 ,114.80 
消费品零售:甘肃:临夏,年,,,,,,,,,,,,,,,,,,,,,,90.76 ,
消费品零售:甘肃:甘南,年,,,,,,,,,,,10.65 ,12.03 ,14.26 ,16.65 ,19.65 ,22.69 ,26.77 ,29.75 ,33.42 ,41.58 ,45.32 ,48.63 ,52.27 
消费品零售:青海:海东,年,,,,,,,,,,,,,,,39.90 ,47.14 ,55.17 ,63.06 ,71.80 ,80.05 ,89.22 ,97.40 ,101.97 
消费品零售:青海:海北,年,,,,,,,,,,,,,,,9.50 ,11.23 ,13.10 ,14.89 ,16.95 ,18.89 ,20.95 ,23.01 ,
消费品零售:青海:黄南,年,,,,,,,,,,,,,,,4.37 ,5.08 ,5.85 ,6.66 ,7.59 ,8.46 ,9.43 ,10.37 ,11.09 
消费品零售:青海:海南,年,,,,,,,,,,,,,,,14.37 ,16.84 ,17.09 ,19.48 ,22.18 ,24.73 ,27.58 ,30.25 ,32.31 
消费品零售:青海:果洛,年,,,,,,,,,,,,,,,2.68 ,3.16 ,3.64 ,4.13 ,4.74 ,5.28 ,5.89 ,6.48 ,6.94 
消费品零售:青海:玉树,年,,,,,,,,,,,,,,,3.41 ,3.70 ,4.07 ,4.60 ,9.12 ,10.17 ,11.33 ,12.46 ,
消费品零售:青海:海西,年,,,,,,,,,,,,,,,43.17 ,50.94 ,59.63 ,66.19 ,74.36 ,81.46 ,89.83 ,98.27 ,81.04 
消费品零售:宁夏:石嘴山,年,11.29 ,12.10 ,13.36 ,14.19 ,15.68 ,17.52 ,19.57 ,21.72 ,24.87 ,27.15 ,30.76 ,35.47 ,43.81 ,52.27 ,61.48 ,67.28 ,77.14 ,84.32 ,90.75 ,96.06 ,102.32 ,111.28 ,115.90 
消费品零售:宁夏:吴忠,年,,,22.01 ,22.97 ,24.58 ,27.17 ,25.55 ,28.36 ,19.14 ,24.20 ,27.18 ,31.08 ,37.61 ,44.34 ,51.92 ,59.68 ,68.42 ,78.15 ,87.57 ,95.31 ,102.76 ,112.69 ,119.20 
消费品零售:宁夏:固原,年,,,,,8.00 ,,9.91 ,13.45 ,12.60 ,14.66 ,16.65 ,19.84 ,24.72 ,29.52 ,32.45 ,37.74 ,43.26 ,49.53 ,55.73 ,59.97 ,64.98 ,71.10 ,73.73 
消费品零售:宁夏:中卫,年,,,,,,,,,11.88 ,13.82 ,15.62 ,18.83 ,23.25 ,27.51 ,32.75 ,38.41 ,43.99 ,50.45 ,56.70 ,60.59 ,65.85 ,73.07 ,74.23 
消费品零售:新疆:克拉玛依,年,9.26 ,10.99 ,11.08 ,11.77 ,12.72 ,13.73 ,14.64 ,14.88 ,16.80 ,18.51 ,20.27 ,23.07 ,27.05 ,29.57 ,34.79 ,43.58 ,48.00 ,53.54 ,55.78 ,58.81 ,62.72 ,66.15 ,70.40 
消费品零售:新疆:吐鲁番地区,年,,,,,,,,,,"152,142.00 ","172,296.00 ","178,119.00 ","210,600.00 ","237,938.00 ","284,873.00 ","263,280.00 ","294,015.00 ","323,433.00 ","385,279.00 ","443,524.00 ","458,782.00 ","506,717.00 ","537,800.00 "
消费品零售:新疆:哈密地区,年,,,,,,,,,,"189,028.00 ","214,550.00 ","250,075.00 ","295,500.00 ","347,898.00 ","386,696.00 ","465,393.00 ","554,516.00 ","649,170.00 ","753,363.00 ","847,259.00 ","859,647.00 ","933,786.00 ",
消费品零售:新疆:和田地区,年,,,,,,,,,,"95,652.00 ","121,208.00 ","142,199.00 ","164,571.00 ","184,874.00 ","203,444.00 ","229,120.00 ","256,300.00 ","285,735.00 ","321,700.00 ","360,601.00 ","375,898.00 ","423,408.00 ","454,000.00 "
消费品零售:新疆:阿克苏地区,年,,,,,,,,,,"363,732.00 ","369,038.00 ","428,691.00 ","528,503.00 ","615,232.00 ","602,922.00 ","722,117.00 ","856,240.00 ","980,361.00 ","1,108,135.00 ","1,247,776.00 ","1,305,665.00 ","1,472,780.00 ","1,592,600.00 "
消费品零售:新疆:喀什地区,年,,,,,,,,,,"310,937.00 ","376,597.00 ","465,040.00 ","577,957.00 ","701,073.00 ","734,408.00 ","894,631.00 ","1,104,713.00 ","1,312,985.00 ","1,483,821.00 ","1,681,248.00 ","1,755,668.00 ","1,872,087.00 ","2,075,100.00 "
消费品零售:新疆:塔城地区,年,,,,,,,,,,"204,736.00 ","233,324.00 ","268,729.00 ","317,496.00 ","369,694.00 ","407,014.00 ","467,027.00 ","525,214.00 ","608,555.00 ","692,833.00 ","782,752.00 ","790,149.00 ","865,008.00 ",
消费品零售:新疆:阿勒泰地区,年,,,,,,,,,,"165,780.00 ","191,309.00 ","222,968.00 ","258,990.00 ","287,099.00 ","324,000.00 ","372,392.00 ","432,189.00 ","490,530.00 ","546,511.00 ","607,073.00 ","683,070.00 ","732,078.00 ",
消费品零售:新疆:克孜勒苏柯尔克孜,年,,,,,,,,,,"38,147.00 ","43,454.00 ","50,760.00 ","60,789.00 ","69,377.00 ","83,272.00 ","97,924.00 ","116,810.00 ","138,669.00 ","164,154.00 ","187,832.00 ","200,793.00 ","219,812.00 ",
消费品零售:新疆:巴音郭楞蒙古,年,,,,,,,,,,"325,417.00 ","311,540.00 ","350,930.00 ","413,876.00 ","472,978.00 ","561,339.00 ","674,885.00 ","785,634.00 ","811,872.00 ","857,369.00 ","982,763.00 ","1,042,921.00 ","1,143,970.00 ",
消费品零售:新疆:昌吉,年,,24.73 ,26.32 ,28.25 ,29.77 ,32.19 ,35.34 ,36.36 ,46.00 ,55.80 ,65.53 ,76.66 ,82.50 ,100.50 ,112.80 ,133.00 ,155.70 ,182.30 ,212.90 ,236.40 ,243.90 ,266.10 ,284.17 
消费品零售:新疆:伊犁,年,,,,,,62.90 ,71.13 ,,73.30 ,83.16 ,94.60 ,109.79 ,131.05 ,154.30 ,172.60 ,199.84 ,232.40 ,,296.29 ,330.32 ,353.44 ,384.06 ,
消费品零售:新疆:博尔塔拉,年,,,,,8.08 ,6.76 ,7.63 ,7.09 ,8.06 ,10.52 ,11.05 ,12.62 ,14.76 ,17.37 ,18.30 ,21.20 ,,29.60 ,34.46 ,39.00 ,40.46 ,46.17 ,50.23 
,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,,,,,,,,,,,,,
